Vehicle ID,Fuel ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Engine Type,Engine Size,Engine Cylinder Count,Engine/Motor(s) Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Electric-Only Range,Total Range,PHEV Type,Notes,Drivetrain,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Charging Speed Level 1 (miles added per hour of charging),Charging Speed Level 2 (miles added per hour of charging),Charging Speed DC Fast (miles added per hour of charging),Battery Voltage,Battery Capacity Amp Hours,Battery Capacity kWh,Seating Capacity
13483,45,377,27,A3,2024,"","","",29,37,32,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,"","","","",FWD,"","","","","","","","",""
13482,45,377,27,A3 quattro,2024,"","","",27,34,30,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,"","","","",AWD,"","","","","","","","",""
13347,45,377,27,A4 quattro/S-Line/Allroad,2024,"","","","","",27-30,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,"","","",Includes Allroad and S-Line models,AWD,"","","","","","","","",""
13348,45,377,27,A5 quattro Coupe/Cabriolet/Sportback,2024,"","","","","",27-30,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,"","","","Includes Coupe, Cabriolet, and Sportback models",AWD,"","","","","","","","",""
13484,45,377,27,A6 quattro,2024,"","","",23,33,26,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,"","","","",AWD,"","","","","","","","",""
13485,45,377,27,A6 quattro/Allroad,2024,"","","",22,30,25,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,"","","","",AWD,"","","","","","","","",""
13487,45,377,27,A7 quattro,2024,"","","",22,30,25,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,"","","","",AWD,"","","","","","","","",""
13486,45,377,27,A8 quattro,2024,"","","",19,28,22,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,"","","","",AWD,"","","","","","","","",""
13349,45,377,29,Q5 quattro/Sportback/S-Line,2024,"","","","","",24-26,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,"","","",Includes S-Line and Sportback S-Line models,AWD,"","","","","","","","",""
13488,45,377,29,Q7 quattro,2024,"","","",19,24,21,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,"","","","",AWD,"","","","","","","","",""
13576,45,377,29,Q8 quattro,2024,"","","",17,23,19,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,"","","","",AWD,"","","","","","","","",""
13489,45,377,27,RS 6 Avant,2024,"","","",14,22,17,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,"","","","",AWD,"","","","","","","","",""
13490,45,377,27,RS7,2024,"","","",14,22,17,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,"","","","",AWD,"","","","","","","","",""
13494,45,377,29,RS Q8,2024,"","","",13,19,15,SI,4.0L,8,4.0L V8,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,"","","","",AWD,"","","","","","","","",""
13350,45,377,27,S3,2024,"","","",23,32,26,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,"","","","",AWD,"","","","","","","","",""
13491,45,377,27,S6,2024,"","","",19,26,22,SI,2.9L,6,2.9L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,"","","","",AWD,"","","","","","","","",""
13492,45,377,27,S7,2024,"","","",19,26,22,SI,2.9L,6,2.9L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,"","","","",AWD,"","","","","","","","",""
