Distributor_ID,Latitude,Longitude,Connected_Lines
D1,35.638343000090615,168.01543912818363,"L21,L85,L52,L89"
D2,51.553193855177085,173.753638679936,"L27,L69,L39,L26"
D3,68.17083830145518,-73.68722419383722,"L59,L87,L93,L85"
D4,-78.98420925794343,-27.274505422629005,"L79,L58,L86"
D5,77.56043988988671,176.1195919544171,"L66,L8"
D6,-26.75827640891,40.51033517061555,L72
D7,-60.44955747663279,-177.38684637044017,"L22,L32,L85,L64"
D8,-66.72475269359751,-148.77215874292108,L27
D9,-83.49699523423494,-171.39783016285259,"L17,L13"
D10,-56.08695801114704,84.22071914447281,"L73,L58"
D11,-33.702238771603575,24.95013920867902,L30
D12,-1.9342769405655957,34.84868924634159,"L33,L64,L57"
D13,63.25740043638325,81.80620072378724,"L67,L27,L29,L16"
D14,-41.04814731184301,15.381979666098289,"L28,L7,L89,L64"
D15,-26.921918813296216,-110.97166293606202,"L46,L11"
D16,57.89995360731939,-133.20042023798834,L61
D17,45.24420611968188,46.346793403961556,L32
D18,50.237152288873574,172.13554730444838,"L58,L55,L98"
D19,-50.25825991474824,156.59145343771792,L5
D20,30.26900263006064,142.9254610858194,"L40,L29,L85,L30"
D21,-7.478053739061451,115.45643403185119,"L8,L82,L73,L63"
D22,19.68667254241855,-51.148628908293006,L50
D23,-39.7243905516814,117.78073639409814,"L91,L48,L43"
D24,-1.6678647704577685,-30.683654314240357,"L35,L67"
D25,-31.87584502440346,78.37921481812822,"L46,L99"
D26,32.67095084987845,-126.26444063225533,"L11,L44,L87,L56"
D27,-12.321685284691156,51.04148625345823,"L2,L55,L53"
D28,-42.80735104289236,15.11059170713537,"L21,L11,L3,L71"
D29,86.71688641800696,141.5896168580383,L86
D30,-48.37727671601444,-105.73978403378804,"L87,L18,L54"
D31,-69.17757806951403,65.95280315001693,"L11,L95,L12"
D32,-69.79591144957442,-9.6474230207277,L4
D33,-60.39178894841903,-47.789924422267575,"L88,L95,L1"
D34,-86.15464283225785,-90.34050595164473,"L86,L25,L99,L34"
D35,-26.74519926549719,29.544827271098455,"L76,L66,L61,L58"
D36,50.356609898089374,-68.01333168119699,"L61,L56,L93,L12"
D37,88.96847452009706,59.28835589764955,"L84,L86,L27"
D38,-86.67767291661035,150.0771424821287,"L48,L65"
D39,87.63179903864406,-12.746975857387895,"L90,L64"
D40,-8.421018787961458,-130.24757795661597,"L40,L74"
D41,-4.8526319662127975,-147.3752537707972,L21
D42,-45.584267393194196,65.58596966643503,"L73,L49"
D43,26.62501170591257,-128.07649150719973,"L61,L87,L19"
D44,-49.415997228923985,-168.84456641495507,"L8,L71"
D45,41.82480801085612,19.43451384301852,"L50,L20"
D46,44.3907714908523,1.6492315387093868,"L55,L51,L20,L98"
D47,-44.12669279006091,-79.9221139763574,"L35,L90,L34,L65"
D48,-82.30557200124036,-33.160929561332836,"L83,L99,L95,L46"
D49,-29.789082681022876,149.6421373887311,"L55,L2"
D50,78.6401234807648,35.11742850216123,"L62,L59"
