Distributor_ID,Timestamp,Power_Demand_kWh
D30,2024-05-01 00:00:00,45.025678547894245
D19,2024-05-01 01:00:00,53.158732327930345
D22,2024-05-01 02:00:00,66.1051172430397
D35,2024-05-01 03:00:00,65.85785068084343
D44,2024-05-01 04:00:00,83.78776274245723
D17,2024-05-01 05:00:00,75.80007989602541
D25,2024-05-01 06:00:00,80.40533179413879
D25,2024-05-01 07:00:00,79.7868780700294
D47,2024-05-01 08:00:00,72.04127641940798
D44,2024-05-01 09:00:00,74.04980443135577
D36,2024-05-01 10:00:00,68.97792450817524
D8,2024-05-01 11:00:00,55.99799039049938
D47,2024-05-01 12:00:00,45.61780760155338
D4,2024-05-01 13:00:00,49.8227161840465
D17,2024-05-01 14:00:00,35.67303954569688
D20,2024-05-01 15:00:00,26.552488244865327
D23,2024-05-01 16:00:00,18.79090307673094
D22,2024-05-01 17:00:00,18.75367712868867
D33,2024-05-01 18:00:00,23.560089674308045
D21,2024-05-01 19:00:00,26.554749531230932
D37,2024-05-01 20:00:00,33.28433276325671
D11,2024-05-01 21:00:00,34.67214685577611
D15,2024-05-01 22:00:00,43.56793943221196
D1,2024-05-01 23:00:00,42.31105693488594
D45,2024-05-02 00:00:00,45.42127159493333
D10,2024-05-02 01:00:00,52.78188556327338
D35,2024-05-02 02:00:00,68.57730414851385
D8,2024-05-02 03:00:00,74.84013081228986
D28,2024-05-02 04:00:00,70.75360313621889
D43,2024-05-02 05:00:00,69.55059696193918
D39,2024-05-02 06:00:00,84.99066981093304
D15,2024-05-02 07:00:00,74.0013086746387
D39,2024-05-02 08:00:00,80.77272950032774
D24,2024-05-02 09:00:00,66.99397507057161
D23,2024-05-02 10:00:00,65.28471818127983
D28,2024-05-02 11:00:00,56.10970503472776
D8,2024-05-02 12:00:00,51.69445263870786
D12,2024-05-02 13:00:00,40.63862635653438
D19,2024-05-02 14:00:00,34.78857167763153
D29,2024-05-02 15:00:00,34.05190743362703
D9,2024-05-02 16:00:00,19.127210163853466
D4,2024-05-02 17:00:00,26.404280589530526
D42,2024-05-02 18:00:00,13.919668898947503
D12,2024-05-02 19:00:00,28.243940277793037
D46,2024-05-02 20:00:00,28.888422573999527
D4,2024-05-02 21:00:00,32.39155082900236
D31,2024-05-02 22:00:00,40.42303155043834
D28,2024-05-02 23:00:00,50.88479780446975
D24,2024-05-03 00:00:00,47.86840009816103
D17,2024-05-03 01:00:00,64.66068545236499
D6,2024-05-03 02:00:00,54.86830375243778
D4,2024-05-03 03:00:00,59.56940330994417
D32,2024-05-03 04:00:00,78.71557180268371
D39,2024-05-03 05:00:00,69.2053926602714
D46,2024-05-03 06:00:00,78.66336556012445
D40,2024-05-03 07:00:00,78.38539460057007
D26,2024-05-03 08:00:00,73.84461739912987
D36,2024-05-03 09:00:00,73.50168228673088
D13,2024-05-03 10:00:00,72.57355523788118
D42,2024-05-03 11:00:00,59.5040255405211
D3,2024-05-03 12:00:00,44.53618811141304
D12,2024-05-03 13:00:00,38.53869186940926
D9,2024-05-03 14:00:00,38.364501842684355
D6,2024-05-03 15:00:00,25.73707566081416
D48,2024-05-03 16:00:00,16.860235383587106
D47,2024-05-03 17:00:00,22.161588472660206
D21,2024-05-03 18:00:00,17.463195331773562
D36,2024-05-03 19:00:00,23.818151261551126
D7,2024-05-03 20:00:00,13.85568644927477
D6,2024-05-03 21:00:00,32.60278151427186
D32,2024-05-03 22:00:00,37.62012268504233
D5,2024-05-03 23:00:00,37.86026659214275
D28,2024-05-04 00:00:00,48.87863710086262
D10,2024-05-04 01:00:00,64.01563117959137
D10,2024-05-04 02:00:00,59.564737753530395
D10,2024-05-04 03:00:00,71.22336676380371
D8,2024-05-04 04:00:00,75.60597073244806
D23,2024-05-04 05:00:00,84.75499813926446
D40,2024-05-04 06:00:00,84.63588856195989
D16,2024-05-04 07:00:00,84.95364044189013
D14,2024-05-04 08:00:00,83.3274047805351
D33,2024-05-04 09:00:00,72.61662916856915
D36,2024-05-04 10:00:00,59.65203603363708
D7,2024-05-04 11:00:00,75.4162042333991
D29,2024-05-04 12:00:00,36.52636079115917
D2,2024-05-04 13:00:00,41.279127913817845
D7,2024-05-04 14:00:00,40.063717660583684
D39,2024-05-04 15:00:00,32.29260003741145
D6,2024-05-04 16:00:00,24.489985004173683
D35,2024-05-04 17:00:00,19.783469613190743
D42,2024-05-04 18:00:00,21.664812276003335
D26,2024-05-04 19:00:00,27.77517131397089
D40,2024-05-04 20:00:00,16.598151629967205
D16,2024-05-04 21:00:00,30.371154101699386
D46,2024-05-04 22:00:00,39.00619270447521
D23,2024-05-04 23:00:00,40.93011463534275
D19,2024-05-05 00:00:00,49.12967122046522
D38,2024-05-05 01:00:00,53.080460572236994
D27,2024-05-05 02:00:00,73.49059550802295
D47,2024-05-05 03:00:00,71.1117818717851
D3,2024-05-05 04:00:00,75.14546948624674
D6,2024-05-05 05:00:00,77.75339541548016
D6,2024-05-05 06:00:00,73.98208647335598
D32,2024-05-05 07:00:00,72.06684220713402
D44,2024-05-05 08:00:00,75.19243992921413
D22,2024-05-05 09:00:00,67.50879456118338
D13,2024-05-05 10:00:00,68.9760990637664
D22,2024-05-05 11:00:00,66.79275924702465
D50,2024-05-05 12:00:00,53.30499009138465
D28,2024-05-05 13:00:00,33.09524581008279
D29,2024-05-05 14:00:00,35.52269433217915
D23,2024-05-05 15:00:00,23.327996450041972
D18,2024-05-05 16:00:00,28.51167207359554
D4,2024-05-05 17:00:00,27.314809681204856
D43,2024-05-05 18:00:00,14.901913325548403
D40,2024-05-05 19:00:00,19.229534399027905
D12,2024-05-05 20:00:00,21.308771338302925
D2,2024-05-05 21:00:00,40.473685005899306
D18,2024-05-05 22:00:00,37.08895699251879
D20,2024-05-05 23:00:00,47.55246121211353
D38,2024-05-06 00:00:00,45.991348574941554
D26,2024-05-06 01:00:00,62.4722463338417
D42,2024-05-06 02:00:00,63.877544341701835
D9,2024-05-06 03:00:00,74.55853870968943
D43,2024-05-06 04:00:00,71.51195636847997
D24,2024-05-06 05:00:00,79.6695452955927
D19,2024-05-06 06:00:00,75.1906322908121
D30,2024-05-06 07:00:00,74.04471389786082
D21,2024-05-06 08:00:00,75.25279588457892
D40,2024-05-06 09:00:00,69.39726802870425
D5,2024-05-06 10:00:00,67.18282947732764
D10,2024-05-06 11:00:00,48.06609555699296
D19,2024-05-06 12:00:00,54.33350144763565
D41,2024-05-06 13:00:00,43.610137857766595
D21,2024-05-06 14:00:00,35.25828680882358
D10,2024-05-06 15:00:00,25.293630948346156
D25,2024-05-06 16:00:00,27.24484537384999
D38,2024-05-06 17:00:00,22.38446288808572
D49,2024-05-06 18:00:00,15.878459595879054
D50,2024-05-06 19:00:00,20.394545809944024
D21,2024-05-06 20:00:00,28.532844428489277
D9,2024-05-06 21:00:00,31.420586669849026
D1,2024-05-06 22:00:00,31.79747493456161
D31,2024-05-06 23:00:00,41.326379805151596
D1,2024-05-07 00:00:00,45.62288097146608
D47,2024-05-07 01:00:00,58.88938237659152
D6,2024-05-07 02:00:00,64.60813761332805
D35,2024-05-07 03:00:00,65.00869112703175
D25,2024-05-07 04:00:00,79.73144814526324
D11,2024-05-07 05:00:00,77.49033526155331
D23,2024-05-07 06:00:00,72.86090296224383
D50,2024-05-07 07:00:00,74.0310569857117
D46,2024-05-07 08:00:00,72.24668125680557
D19,2024-05-07 09:00:00,71.48707297879218
D7,2024-05-07 10:00:00,63.74490642540079
D35,2024-05-07 11:00:00,58.153142880085646
D8,2024-05-07 12:00:00,48.24827350900299
D28,2024-05-07 13:00:00,40.99253447595074
D37,2024-05-07 14:00:00,28.9829310452201
D39,2024-05-07 15:00:00,35.4504388629335
D12,2024-05-07 16:00:00,18.661497484658206
D46,2024-05-07 17:00:00,15.654309335109172
D43,2024-05-07 18:00:00,15.619637501492106
D46,2024-05-07 19:00:00,14.505295267310537
D47,2024-05-07 20:00:00,17.854653245610777
D31,2024-05-07 21:00:00,34.36952513191745
D44,2024-05-07 22:00:00,30.14749229994259
D17,2024-05-07 23:00:00,48.0157721918942
D2,2024-05-08 00:00:00,47.64736857468922
D11,2024-05-08 01:00:00,53.669888076144034
D41,2024-05-08 02:00:00,65.51511204242513
D27,2024-05-08 03:00:00,70.99366348274351
D15,2024-05-08 04:00:00,78.74615701325999
D25,2024-05-08 05:00:00,78.63912339375354
D16,2024-05-08 06:00:00,76.47794218282732
D41,2024-05-08 07:00:00,88.14152795998159
D27,2024-05-08 08:00:00,81.14972610677306
D11,2024-05-08 09:00:00,71.09960393977127
D27,2024-05-08 10:00:00,73.00854906703259
D37,2024-05-08 11:00:00,57.54687555190747
D22,2024-05-08 12:00:00,38.40073285118086
D4,2024-05-08 13:00:00,41.3873273499913
D12,2024-05-08 14:00:00,38.48518552018758
D1,2024-05-08 15:00:00,32.98046023626542
D26,2024-05-08 16:00:00,20.95585320850856
D38,2024-05-08 17:00:00,21.792506477565148
D5,2024-05-08 18:00:00,14.243215035355856
D42,2024-05-08 19:00:00,19.527754231851493
D49,2024-05-08 20:00:00,16.678074452868888
D5,2024-05-08 21:00:00,34.37346099518263
D9,2024-05-08 22:00:00,33.27902273010163
D17,2024-05-08 23:00:00,47.29546636197978
D46,2024-05-09 00:00:00,46.455082491175446
D48,2024-05-09 01:00:00,70.0026516761036
D45,2024-05-09 02:00:00,73.84892518911018
D14,2024-05-09 03:00:00,64.6222475480566
D19,2024-05-09 04:00:00,75.47896820535692
D7,2024-05-09 05:00:00,82.9013401420944
D12,2024-05-09 06:00:00,89.10052932464531
D1,2024-05-09 07:00:00,71.7842885624904
D7,2024-05-09 08:00:00,73.92719680435414
D48,2024-05-09 09:00:00,80.15271649521516
D43,2024-05-09 10:00:00,69.31345930310465
D13,2024-05-09 11:00:00,52.427933931529694
D8,2024-05-09 12:00:00,46.98018544564946
D21,2024-05-09 13:00:00,51.45689269030396
D39,2024-05-09 14:00:00,35.11727364680512
D24,2024-05-09 15:00:00,30.481291241361696
D15,2024-05-09 16:00:00,20.592658813165407
